Story Code,Annotator #1 Code,Annotator #2 Code,Story Title,Plot Summary,Content warnings,Author Code,Second author code (if applicable),Investigation-reveal order,Reveal border sentence,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,Number of detectives if more than 2,Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,Number of assistants if more than 2,Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Culprits introduced during reveal?,Main culprit independence,Initiator of investigation,Role of police,Focus on crime or quasi-crime,Crime trajectory,Occurrence of crime or mystery,Types of qrimes,Motives,Means (murder only),Sufficient clues to guess?,Sufficient clues to solve?,Correct annotator guess?,Types of clues,Essential clue,Type of essential clue,Most salient clue,Type of most salient clue,Red herring description,Type of red herring,Presence of planted or fabricated evidence,Types of evidence made available,Is the crime solved?,Decision NOT to alert authorities?,Satisfying narrative account?,How satisfying as detective fiction?,Recommend to friend?,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book
JTC01,CC,MAL,The Man with the Nailed Shoes,"A man is found dead on a shoreline with a stab wound to the heart, and one of his old gambling buddies is suspected to have killed him! What past events have to do with this fatal encounter, and was his old acquaintance guilty of murder?",,AF,,Standard,“The first witness for the defence was Thorndyke…”,John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,2,0,0,0,0,4,0,0,0,No,Acts together with one or more equal partners,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Fraud, Blackmail, Forgery",Greed,"Poison, Knife/sword",Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The shoe impressions,Physical clue,The backstory of Mr. Dryer and the men he was involved with,Testimonial clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1909,Book,John Thorndyke's Cases 
MC01,SO,SK,The Coin of Dionysius,The authenticity of a tetradrachm of Dionysius is the prime evidence to prove a man’s innocence. How can an old blind friend be the crucial expert in this case?,,EB,,Other,“Here is this one then.,Max Carrados,Male,Independent amateur,Louis Carlyle,Male,Independent professional (agency),,Parkinson,Male,Independent amateur,,,,,1,0,0,0,0,1,1,0,0,,Acts together with one or more equal partners,The police,Police are not present,Crime,Qrime → different qrime,Before the investigation,"Theft, Fraud, Forgery",Greed,,No,No,No,Ex post -- newly usable clue (illegible → usable),The texture of the coin (from licking),Physical clue,_none,_none,,,,Physical evidence,Yes,No,Yes,2,No,1913-08-17,Journal,The News of the World
MC02,SO,SK,The Knight’s Cross Signal Problem,"At Knight’s Cross station, a passenger train crashes into a crowded electric train. Oh, the humanity! Oh, the wanton loss of lives! Who is responsible for such a tragedy?",,EB,,Standard,"“To-night, at all events, it might be prudent,” he replied, handing one to Carlyle and putting the other into his own pocket.",Max Carrados,Male,Independent amateur,,,,,Louis Carlyle,Male,Independent professional (agency),Parkinson,Male,Independent amateur,,1,0,0,67,1,1,0,0,0,Yes,Acts alone,Unclear/not specified,Police are not present,Crime,Qrime → same qrime,Before the investigation,"Murder, Mischief","Greed, Ideology",Tampering,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The marked ruler in the room,Physical clue,The dimension of the railway light,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,No,1913-08-31,Journal,The News of the World
MC03,SO,SK,The Tragedy at Brookbend Cottage,Lieutenant Hollyer suspects that his brother-in-law Mr. Creake plans to murder Mrs. Creake after prior attempts made on her life. A shocking turn of events will leave even Max Carrados stunned.,,EB,,Standard,"“I stayed in all day after hearing from you this morning, Mr Carrados,” he said, shaking hands.",Max Carrados,Male,Independent amateur,,,,,Louis Carlyle,Male,Independent professional (agency),,,,,0,1,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,After the investigation,Murder,"Greed, Love","Poison, Indirectly, by an elaborate device",No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Creake is an published electrical scientist,Testimonial clue,Creake going up into trees with a kite and key,Testimonial clue,Exposed metal surfaces all of the house,Physical clue,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1913-09-14,Journal,The News of the World
MC04,SO,SK,The Clever Mrs Straithwaite,Mrs. Straithwaite’s pearl necklace has gone missing after a night at the opera. Will Max Carrados discover the truth of this crime for the helpless insurance firm? Where are the pearls? Was this all a plot by the clever Mrs. Straithwaite? ,,EB,,Standard,"“I will call for that,” he assented. “Let us say about half-past eight.”",Max Carrados,Male,Independent amateur,,,,,Louis Carlyle,Male,Independent professional (agency),,,,,0,0,0,0,1,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,Qrime → different qrime,Before the investigation,"Theft, Fraud, Forgery","Greed, Love",,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",Smell of eucalyptus on the gloves,Physical clue,The husband's suspicious behaviour,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1913-09-28,Journal,The News of the World
MC05,SO,SK,The Last Exploit of Harry the Actor,"“The Safe” is an impregnable building that rents out safe deposit boxes for their clients. With safety the utmost priority, clients have the assurance that their goods will be in safe hands. Then how was it that seven clients have had their goods stolen? Will Max Carrados discover the culprit’s means?",,EB,,Standard,"“Here is the photograph,” he announced. ",Max Carrados,Male,Independent amateur,,,,,Louis Carlyle,Male,Independent professional (agency),,,,,4,0,0,0,1,2,1,0,0,Yes,Acts together with one or more equal partners,Unclear/not specified,Police are not present,Crime,Qrime → same qrime,Before the investigation,"Theft, Fraud, Forgery, Breaking and entering",Greed,,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The photograph of Harry the actor,Physical clue,"The manager arguing with the clients about entering ""the safe""",Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,2,No,1913-10-12,Journal,The News of the World
MC06,SO,SK,The Tilling Shaw Mystery,"Miss Whitmarsh comes with one of the most surprising cases yet, as Detective Max Carrados works to uncover the truth behind her father's supposed attempted murder!",,EB,,Standard,"“I have come to tell you that I must throw up my brief,” he said. ",Max Carrados ,Male,Independent amateur,,,,,,,,,,,,2,1,0,0,0,2,1,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,"Before the investigation, During the investigation","Murder, Fraud, Blackmail","Greed, Revenge, Love, Pride",Firearm,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The needles of the watch in place,Physical clue,Madeline Whitmarsh's unwillingness to report important evidence,Testimonial clue,,,Planted,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,No,1913-11-23,Journal,The News of the World
TSB03,SO,SK,The Echo of a Mutiny,A man and a ship is lost on the high seas! Was this an accident or were there more nefarious motivations involved? ,,AF,,Reverse,"Yes, and, by the Lord Moses, since I’ve got you here, why shouldn’t I suck your brains?”",John Evelyn Thorndyke,Male,Independent amateur,,,,,Nathaniel Polton,Male,Independent amateur,Christopher Jervis,Male,Independent amateur,,3,0,0,0,0,1,0,0,0,,Acts alone,A private client,Police are not present,Crime,Qrime → same qrime,Before the investigation,"Murder, Theft","Greed, Revenge","Knife/sword, Accident",Yes,No,No,Usable in real time (usable → usable),"Features of pipe (teeth mark, mole hair, type of tobacco) in Jeffery's pipe collection",Physical clue,Pipe on the washed up body with specific snuff,Physical clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,No,4,No,1912,Book,The Singing Bone
TSB04,SO,SK,A Wastrel’s Romance,"A wealthy American widow is poisoned, but all the diamonds on her evening dress are left untouched. Can the detectives find the assailant from a single unidentifiable coat?",,AF,,Reverse,"“Miss Halliwell is looking for you,” she said. “A lady has been taken ill. Will you come and see what is the matter?” She took my arm and, when I had made my apologies to my partner, she hurried me on to the lawn.",John Evelyn Thorndyke,Male,Independent amateur,,,,,Nathaniel Polton,Male,Independent amateur,Christopher Jervis,Male,Independent amateur,,0,1,0,0,0,1,0,0,0,,Acts alone,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,Assault,Greed,,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",The yale-key,Physical clue,Dust and hair particles on the coat,Physical clue,,,,Physical evidence,Yes,Yes,Yes,4,No,1912,Book,The Singing Bone
TSB05,SO,SK,The Old Lag,Frank Belfield’s fingerprints are found at the scene of a murder. Will the powers of forensic science prevail? Or are there more nefarious actors at work? And what’s with camels at the zoo?,,AF,,Standard,It’s the blood of a camel!”,John Evelyn Thorndyke,Male,Independent amateur,,,,,Nathaniel Polton,Male,Independent amateur,Christopher Jervis,Male,Independent amateur,,2,0,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,Before the investigation,"Murder, Forgery",Pride,Blunt force trauma,Yes,No,Yes,"Illegible and never usable (illegible → never usable), Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Woodthrope is the prison photographer,Physical clue,Blood of the camel on the hankerchief,Physical clue,,,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1912,Book,The Singing Bone
JTC02,CC,MAL,The Stranger's Latchkey,"Jervis’ vacation is anything but when the six-year-old of a family friend disappears with their niece while painting in the woods, only for her to return alone with blood on her dress. The mother says murder, but with forest encampments, strange neighbors, and 19th century hair dye, will Jervis and Thorndyke find little Freddy?",,AF,,Standard,"""I will tell you."" replied Thorndyke, ""all that we know. ",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,1,0,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Suspected murder, Kidnapping",Greed,,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The footprints,Physical clue,The mentioning of the brother in law in the will,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,1909,Book,John Thorndyke's Cases 
JTC03,CC,MAL,The Anthropologist at Large,"Precious art goes missing when a man is in charge of his brother’s gallery, and all that is found is a taxi number and his hat. What will these clues tell Thorndyke about the culprit?",,AF,,Standard,"""Well, then, my inferences in this case were perfectly simple ones, drawn from well-known anthropological facts.",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,2,1,0,0,0,2,0,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Theft, Fraud, Assault, Breaking and entering",Greed,,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The powder on the hat,Physical clue,The wound on the culprit's face,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1909,Book,John Thorndyke's Cases 
JTC04,CC,MAL,The Blue Sequin,"When a woman is found dead on a train with a ghastly a wound to the head, her former lover is suspected of murdering her in a fit of rage! But there is more to this a-moo-sing tale of woe!",,AF,,Standard,"""I mean that we can now prove when and where and how Miss Grant met her death. ",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,0,1,0,0,0,0,0,0,0,No,,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,Qrime → no qrime,Before the investigation,Suspected murder,Pride,Accident,Yes,Yes,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Hair and brain matter on the fractured ox horn,Physical clue,Mentioning them not wanting to agitate the cows,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,1909,Book,John Thorndyke's Cases 
JTC05,CC,MAL,The Moabite Cipher,"As Thorndyke attempts to aid a man who is injured by a horse, he stumbles upon a letter from an anarchist group with plans to assassinate the visiting Russian grand duke!",,AF,,Standard,"""And now,"" said I, as the train moved out of the station, ""perhaps you will explain this little comedy.""",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,1,0,0,0,0,4,0,0,0,Yes,Acts on behalf of a crime syndicate,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,No qrime → no qrime,"Before the investigation, During the investigation",Theft,Crime-for-crime's-sake,,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The ink on the letter,Physical clue,Barton and his fraudulent arsenic case,Testimonial clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,No,1,No,1909,Book,John Thorndyke's Cases 
JTC06,CC,MAL,The Mandarin's Pearl,"Thorndyke investigates the claims of a nervous young man being haunted by a murdered Mandarin after purchasing his pearl from a curio-shop. Afraid of being driven to suicide like the other ghost story victims, does Thorndyke face a case beyond the limitations of his logic?",,AF,,Standard,"""I will make it clear to you in a moment,"" said Thorndyke",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,1,0,0,0,0,2,0,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Quasi-crime,No qrime → qrime,"Before the investigation, During the investigation","Suspected murder, Fraud",Greed,"Asphyxiation, Other",Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The revolving mirror,Physical clue,The apparition only occurring after fred recounted the story and only in the closet,Testimonial clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,1909,Book,John Thorndyke's Cases 
JTC07,CC,MAL,The Aluminium Dagger,"A man is murdered in his apartment with an awkwardly twisted dagger, and police are confused about how this could have occurred because there were no signs of entrance in the apartment! A dark past sheds new light on this investigation.",,AF,,Standard,"""You look surprised,"" he continued (which was undoubtedly true), ""but yet the whole thing is exceedingly obvious.",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,1,0,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Fraud",Greed,"Knife/sword, Firearm",Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The ink found in the home of Barlow,Physical clue,Barlow’s physical description,Testimonial clue,,,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1909,Book,John Thorndyke's Cases 
JTC08,CC,MAL,A Message from the Deep Sea,"After a young German girl is found murdered in her sleep with sand by her pillow and a lock of red hair in her grip, Thorndyke’s medical skills are called to the frontline for determining who in a young love triangle could be responsible for committing such a savage crime.",,AF,,Standard,"""I think,"" said Thorndyke, ""that it will save time if I give you the facts in a connected order.""",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,0,1,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, After the investigation","Murder, Assault, Breaking and entering","Revenge, Jealousy",Knife/sword,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The “sand”,Physical clue,Testimony regarding Petrofsky’s relation to the deceased,Testimonial clue,Suspect's hair in the hand of the deceased,Physical clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,No,3,No,1909,Book,John Thorndyke's Cases 
TSB01,CC,MAL,The Case of Oscar Brodski,Discover how Thorndyke and Jervis solve the brutally staged murder of a diamond merchant after experiencing the harrowing crime first. How can a marriage of forensics and common sense shed light on the body left by the train tracks and the meaning of oatmeal biscuits?,,AF,,Reverse,"The singular circumstances that attended the death of Mr. Oscar Brodski, the well-known diamond merchant of Hatton Garden, illustrated very forcibly the importance of one or two points in medico-legal practice which Thorndyke was accustomed to insist were not sufficiently appreciated.",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,1,0,0,0,0,1,0,0,0,,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,During the investigation,"Murder, Theft",Greed,"Asphyxiation, Blunt force trauma",,,,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The carpet of Silas’ home,Physical clue,The diamonds that have gone missing,Physical clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1912,Book,The Singing Bone
TSB02,CC,MAL,A Case of Premeditation,"A ""reformed"" criminal’s conscience is challenged when their comfortable life is at risk of being exposed by an enemy of the past. Thorndyke is called to investigate the complicated premeditations of an intelligent crime involving blackmail and dead rats.",,AF,,Reverse,"“Let us have the particulars,” said Thorndyke, taking a writing-pad from a drawer and dropping into his armchair. “Begin at the beginning,” he added, “and tell us all you know.”",John Evelyn Thorndyke,Male,Independent amateur,,,,,Christopher Jervis,Male,Independent amateur,,,,,2,0,0,0,0,2,0,0,0,,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Blackmail","Greed, Revenge, Pride",Knife/sword,,,,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",The fingerprints,Physical clue,Knowledge of the blackmail,Testimonial clue,,,Fabricated,,Yes,No,Yes,2,No,1912,Book,The Singing Bone
TCD04,WW,AMB,The Golden Key,Young Mr. Edenborough seeks John Dollar's assistance with insomnia on the week of his wedding. Dollar learns that Edenborough is suspected of leaking classified drawings. Can Dollar find the culprit before this shadow of treason ruins the upcoming nuptials? ,,EWH,,Standard,"""You are not the first man, my dear Edenborough,"" ",John Dollar,Male,Independent amateur,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,No,Acts alone,A private client,Police are not present,_none,Qrime → no qrime,"Before the investigation, During the investigation","Theft, Fraud",Ideology,,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Dollar's interview with Rocchi. ,Testimonial clue,Edenborough's fiance Lucy Trevelyan's interest in drawing.,Testimonial clue,,,,Testimonial evidence,Yes,No,Yes,3,No,1914,Book,The Crime Doctor
TCD05,WW,AMB,A Schoolmaster Abroad,"After a dissolute young gentleman on holiday is prescribed an amount of strychnine that would kill him, a community casts aspersions upon his doctor. However, John Dollar suspects that the prescription is a forgery.",,EWH,,Standard,"""I have not forgot anybody, Mr. Scarth."" ",John Dollar,Male,Independent amateur,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,Qrime → different qrime,"Before the investigation, During the investigation","Murder, Forgery",Greed,"Poison, Tampering",Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)","The will, leaving Mostyn Scarth a large amount of Jack Laverick's fortune. ",Testimonial clue,Scarth's role as Laverick's handler. ,Testimonial clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,2,No,1914,Book,The Crime Doctor
TCD06,WW,AMB,One Possessed,"General Dysone, a retired soldier formerly stationed in India, approaches Dr. John Dollar about the peculiar behaviour of his wife. Mrs. Dysone has begun carrying a revolver on her at all times and recently adopted a fierce bulldog.  ",,EWH,,Standard,"You know what he is as well as I do, Mrs. Dysone; you may thank God a doctor has found him out before the police! ",John Dollar,Male,Independent amateur,,,,,,,,,,,,2,0,0,0,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,No qrime → qrime,"Before the investigation, During the investigation","Murder, Assault",Insanity,Asphyxiation,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The statue of “Bhowanee” on top of the General’s bureau and books in his library. ,Physical clue,The General was bitten by his wife's dog shortly before she shot the dog.,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,3,No,1914,Book,The Crime Doctor
PVDS34,SK,JM,The Grinning God,"When a man finds himself in a mysterious house full of wailings and a possible ghost, how is the Thinking Machine to make sense of these gothic and inexplicable elements? As we trudge on, we are once again reminded of the professor’s mind-boggling deductive finesse.",,JF,,Standard,"Harold Fairbanks sat beside The Thinking Machine in the second seat of a huge touring car, with the slender hand of the scientist resting lightly on his wrist. ",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,1,0,0,0,1,0,0,0,No,Acts alone,The assistant(s),Police are not present,Crime,No qrime → qrime,Before the investigation,"Assault, Breaking and entering","Paranoia, Self-defence",,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The shining statue,Physical clue,Fairbanks' reaction to the statue,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1907-12-01,Book,Tales of the Thinking Machine and Other Stories
PVDS35,SK,JM,The Disappearance of Baby Blake,"A baby suddenly disappears, leaving behind an incomplete single trail of footsteps in the snow. This is then followed by ransom notes and a myriad of possible culprits, only to result in the most bizarre and interesting reveal yet.",,JF,,Standard,"""Good,"" said the other, and he rubbed his slender hands together briskly. ""Sit down, Mr. Hatch. It was a little better after all than I hoped for. Now your story first. What happened when the baby was brought back home?""",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,0,0,0,0,2,2,0,0,No,Acts mostly alone with some assistance,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,"Before the investigation, During the investigation","Suspected murder, Bribery, Kidnapping","Greed, Paranoia",,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",The picture book and the picture of the monkey in it,Physical clue,The baby going outside wanting to touch the snow,Testimonial clue,The letters received by the mother asking money in exchange of her child,Physical clue,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1907-12-08,Journal,Associated Sunday Magazine
PVDS36,SK,JM,The Mystery of Prince Otto,"Prince Otto Ludwig, heir to the throne of Germania-Austria, has mysteriously disappeared from the suite he occupied on his way back from visiting the United States. Augustus Van Dusen’s help is necessary to find the Prince and avoid a political scandal that could change the fate of Germania-Austria.",,JF,,Standard,"""It's all right,"" he said. ""We'll go aboard ship now.""",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,0,0,0,0,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,Qrime → different qrime,"Before the investigation, During the investigation","Fraud, Bribery, Assault",Greed,,No,No,No,_none,_none,_none,_none,_none,,,Fabricated,,Yes,Yes,No,1,No,1912-07,Journal,Cassell's Magazine of Fiction
PVDS37,SK,JM,The Tragedy of the Life-Raft,"For three days, Peter Orday, an extremely wealthy man, receives messages that only contain the sentence: “One Million Dollars!” The millionaire hires a detective but is eventually murdered on his sofa. Was his fear of water connected to this case?",,JF,,Standard,"First""— the petulant blue eyes were raised toward the ceiling; the slender fingers came together precisely, tip to tip —""first: Why did you kill Peter Ordway?",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,2,0,0,0,0,2,0,0,0,No,Acts alone,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Blackmail, Breaking and entering",Greed,"Firearm, Asphyxiation",Yes,No,Yes,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",Peter Ordway’s fear of water ,Testimonial clue,Mr.Holderby's behaviour,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1912-08-01,Journal,Popular Magazine
PVDS38,SK,JM,The Case of the Scientific Murderer,"When two completely unrelated people, a woman of higher aristocratic society and a longshoreman, both die of inexplicable breath deprivation with no signs of strangling, Augustus Van Dusen must use his experience in science to make sense of this case.",,JF,,Standard,"The Thinking Machine shrugged his shoulders, and was silent. A moment later the door opened, and Martha appeared, her eyes blazing with indignation.",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,2,1,0,0,0,1,0,0,0,No,Acts alone,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Breaking and entering",Greed,Asphyxiation,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The odor of drug on the handkerchief,Physical clue,"The Thinking Machine shrugged his shoulders, and was silent. A moment later the door opened, and Martha appeared, her eyes blazing with indignation.",Physical clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1912-09-01,Journal,Popular Magazine
PVDS39,SK,JM,The Jackdaw,How will three intelligent birds play into the cunning schemes of a master criminal? Augustus Van Dusen uncovers this bizarre case as he traces the true culprit behind this crime of fraud and deception.,,JF,,Reverse,"So ultimately it came to pass that The Thinking Machine—more properly, Professor Augustus S.F.X. Van Dusen, Ph.D., F.R.S., M.D., LL.D., et cetera, et cetera, logician, analyst, and master mind in the sciences—turned his crabbed genius upon the problem.",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,5,0,12,0,1,0,0,0,,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,Theft,Greed,,,,,_none,_none,_none,_none,_none,,,,,Yes,No,Yes,5,No,1912-09-15,Journal,Popular Magazine
